id,screen_name,name,full_text,date,heure
1,gptournier,Guillaume Tournier,"@ENGIEpartFR \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\nPour le numéro 1 du service client c’est dommage",2023-11-16,15:13:18
2,jouanetwan,Jouan Etwan ,"Bonjour @ENGIEpartSAV , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.",2023-11-26,07:34:34
3,vince_thouvenin,thouvenin,@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence dAmiens nintervient pas malgré deux semaines de relances pour avoir DE LEAU CHAUDE ! EN PLEIN HIVER CEST SCANDALEUX  !,2023-12-21,14:27:08
4,BiduleAnatheme,Anathème Bidule,"@ENGIEpartSAV vous envisagez de vous occuper de lagence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je nenverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.",2023-12-28,21:32:58
5,vince_thouvenin,thouvenin,"@ENGIEpartSAV retour de votre technicien vous navez pas deau chaude car vos mousseurs sont entartrés, ça crée des problème de pression  lintégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...",2023-12-29,10:08:10
6,dionombo,Zawarudo ,@ENGIEpartFR Merci pour lannulation dentretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....,2023-12-29,11:13:42
7,hawaien88,hawaien88,Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nC’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo,2023-12-29,12:16:46
8,hawaien88,hawaien88,@ENGIEpartSAV Et c’est si compliqué d’expliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il n’y aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?,2023-12-29,14:01:48
9,Petit20850206,Petit,"@ENGIEpartFR Bonjour, Jai reçu un courrier de votre part le 29/12/2023 qui mordonne dinstaller un compteur numérique avant le 01/01/2024, cest scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin dannée ?",2023-12-30,13:55:44
10,Jules_brdn, Ajde Ana! ,"@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!",2024-01-01,12:45:32
11,fhureau,François Hureau ,"Bonjour @ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la @CRE_energie  est passé de 0,10406€ à 0,09990€/KwH entre décembre et janvier, le prix de loffre tranquillité est passé de 0,09686€ à 0,10230€ ? Quelle est votre formule dindexation ?",2024-01-01,16:59:03
12,AmirRamires,Ramirez,@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nEn plein mois de janvier ou les températures sont basses !,2024-01-02,10:24:08
13,AnneCremer2,Anne Cremer,"@ENGIEpartFR : jessaie de vous joindre depuis 48 h, impossible. Jai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait : impossible sur votre site.",2024-01-03,09:19:30
14,Eurpbo2016,Pbo,@ENGIEpartFR bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures.\nComment faire ?\nMerci,2024-01-03,14:40:58
15,hawaien88,hawaien88,@ENGIEpartSAV Vous m’avez demandé de venir en privé pour qu’on ne voit pas que vous ne répondez plus. Ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre à décembre. J’attends toujours une explication.,2024-01-04,08:33:30
16,bbast____,Bastos en brr,N’ayant pas Twitter je passe par le compte d’un proche pour solliciter @ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ?,2024-01-04,12:31:53
17,chiquitamala,marga,"@ENGIEpartSAV @ENGIEpartFR sommes arrivés à 624.32,  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.",2024-01-04,13:34:11
18,WhoCares188,ÇA GIIIIIIVE,"Comme les afficher c’est ce qui marche, @ENGIEpartSAV @ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que j’attends mes sous!!!",2024-01-05,07:55:39
19,OPredhomme,Olivier Predhomme,.@ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus d’eau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? C’est quoi ce service client??? @ENGIEgroup,2024-01-05,09:52:06
20,AykCtk,PoAyko,"@ENGIEpartFR Bonjour,\nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriez-vous avoir lamabilité de porter un intérêt à mes questions sur des factures qui sélèvent à 280€ pour le mois de novembre ? App. de 67m2 entièrement refait à neuf",2024-01-06,15:07:35
21,Bonheur151,Bonheur15,"@BrunoLeMaire  deux questions: « moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ? »@ENGIEgroup augmenter l’abonnement de 35% c’est à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs … J’attends vos retours ! https://t.co/iMj6ybI3lb",2024-01-06,21:15:38
22,jouanetwan,Jouan Etwan ,"@ENGIEpartSAV Bonjour @ENGIEpartSAV , l’appli #monpilotageelec   Nouveau bug, il fait -3 degrés #engie",2024-01-08,19:01:43
